Lebensmittelbezeichnung;Energie;Protein;Fett;Kohlenhydrate;Ballaststoffe
Sardelle gebraten ohne Fett (Pfanne);234;23,869;15,4;0;0
Schokobiskuitboden;290;11,59;6,78;44,4;2,63
Brennnessel gekocht;43;6,768;0,56;1,202;2,983
Chayote gebraten ohne Fett (Pfanne);58;1,32;0,169;9,86;5,814
Schwein Filet/Lende, tiefgefroren;118;22,79;2,97;0;0
Wildlachs geräuchert;120;21,483;3,78;0;0
Kalb Leber, gebraten ohne Fett (Pfanne);110;18,625;1,513;5,395;0
Grünkohl tiefgefroren;59;4,622;0,744;3,69;9,322
Schwein Roulade (Oberschale) gebraten ohne Fett (Pfanne);141;29,15;2,68;0;0
Schwein Herz, tiefgefroren;117;16,9;5,53;0;0
Schwein Dicke Rippe gekocht;256;28,54;15,81;0;0
Blumenkohl gedämpft;35;2,399;0,277;5,28;2,8
Reh Rücken, geschmort ohne Fett;152;29,151;3,89;0;0
Reis Grieß, gekocht;55;1,143;0,103;12,2;0,317
Knoblauch gedünstet;96;5,931;0,412;3;27,742
Radieschen gedünstet;18;1,029;0,137;2,27;1,5
Kalb Brust, tiefgefroren;201;18,4;14,2;0;0
Hafer Flocken, gekocht;66;2,499;1,257;10;2,076
Rotkohl gekocht;24;1,421;0,164;3,034;2,3
Ziege Fleisch, geschmort ohne Fett;178;30,504;6,256;0;0
Semmelknödel roh;182;8,11;4,99;25,4;1,7
Schalotte gedünstet;33;2;0,1;3,2;5,3179
Schwein Ladenbauch, gebraten ohne Fett (Ofen);364;22,77;30,34;0;0
Kochbanane gedünstet;141;1,28;0,08;32,1;2,4
Kakisaft;56;0,6;0,24;12,712;0,246
Thunfisch tiefgefroren, gegrillt;131;30,87;0,84;0;0
Rind Bratenfleisch (Bug) gebraten ohne Fett (Ofen);161;26,933;5,889;0;0
Gans Fleisch, mit Haut, tiefgefroren;342;15,7;31;0;0
Hähnchen Flügel, mit Haut, geschmort ohne Fett;185;21,9;10,86;0;0
Pferd Fleisch, tiefgefroren;108;20,6;2,67;0,4;0
Schaf Hinterhaxe, mittelfett, gekocht;259;29,8;15,5;0;0
Blumenkohl gedünstet;38;2,579;0,298;5,66;3,1
Mandel süß, gemahlen;538;22,333;46,6;3,87;7
Buchweizen Grieß, gekocht;46;1,66;0,41;8,65;0,78
Rind Tatar/Schabefleisch, tiefgefroren;115;22;3;0;0
Brosme/Lumb, gebraten ohne Fett (Pfanne);88;20,544;0,619;0;0
Weißkohl gebraten ohne Fett (Pfanne);60;2,608;0,358;8,56;5,7
Schaf Leber, gebraten ohne Fett (Pfanne);144;22;5,7;1,1;0
Champignon gekocht;39;4,99;0,374;4;2,9
Himbeere gedünstet;45;1,1;0,316;5,4;4,9
Schaf Hals/Kamm/Nacken, gebraten ohne Fett (Ofen);208;23,2;12,86;0;0
Karpfen pochiert;107;15,882;4,88;0;0
Hecht gedünstet;74;16,2;1,06;0;0
Sardine gebraten ohne Fett (Pfanne);175;23,038;9,17;0;0
Schaf Brust, mittelfett, geschmort ohne Fett;242;29,1;14;0;0
Heilbutt/Weißer Heilbutt, gedünstet;122;17,946;5,55;0;0
Gans Fleisch, ohne Haut, gekocht;158;29,3;4,58;0;0
Heidelbeerkompott;65;0,4;0,451;12,2;3,7
Schwein Hackfleisch, gebraten ohne Fett (Pfanne);339;25,35;26,44;0;0
Kalte Ente (Bowle aus Wein und Sekt);74;0,1;0;1,55;0
Bleichsellerie gebacken;20;1,412;0,1;1,9;3,004
Rind Steak (Rücken) gebraten ohne Fett (Ofen);162;29,523;4,877;0;0
Wachsbohne tiefgefroren;30;2,3;0,2;3,7;2,1
Chicoree gedünstet;22;2,543;0,191;1,4;1,4
Europäische Auster gratiniert ohne Fett (Ofen);73;9,8;3,27;1,211;0
Rinderzunge gekocht;211;18,462;15,288;0;0
Grünkohl gedünstet;46;3,617;0,583;2,89;7,296
Halloumi Grillkäse, gebacken;332;22,59;26,38;0,1;0
Quitte gekocht;44;0,411;0,515;6,7;4,882
Rind Tatar/Schabefleisch, gebraten ohne Fett (Pfanne);148;28,541;3,73;0;0
Schwein Hintereisbein/Hinterhaxe, gekocht;259;26,24;17,07;0;0
Schaf Vorderhaxe, mittelfett, gegrillt;256;27,3;16,3;0;0
Mungbohne reif, gekocht;111;8,6;0,7;14,5;6,1
Lamm Nuss, gebraten ohne Fett (Ofen);147;25,676;4,973;0;0
Thunfisch tiefgefroren, gebraten ohne Fett (Pfanne);119;28,165;0,741;0;0
Schaf Keule, fett, geschmort ohne Fett;309;26,7;22,5;0;0
Schaf Fleisch, grob entsehnt, roh;181;18,4;11,9;0;0
Weizen Backschrot, Type 1700, gekocht;52;1,95;0,27;9,41;1,95
Dorsch/Kabeljau, gebraten ohne Fett (Pfanne);93;21,1;0,94;0;0
Hühnerei pochiert;138;13,444;9,184;0,347;0
Chinakohl gebacken;21;2,118;0,235;1,62;2
Karpfen geräuchert;128;19,432;5,59;0;0
Porree/Lauch, gekocht;26;2,006;0,2;3;1,9
Schwarztee (Getränk) mit Zucker;7;0;0;1,861;0
Clementinensaft;37;0,76;0,12;7,35;0,2
Hirsch Fleisch, gebraten ohne Fett (Pfanne);153;29,209;3,988;0;0
Hering gebraten ohne Fett (Pfanne);159;18,8;9,316;0;0
Forelle gegrillt;195;27,078;9,39;0;0
Kalb Hackfleisch, roh;189;19,112;12,515;0;0
Romanesco gekocht;30;2,058;0,238;4,52;2,5
Schwein Filetmedaillon, gegrillt;128;28,7;1,5;0;0
Pflaumensaft;41;0,27;0,136;9,64;0,2
Traubensaft rot;70;0,54;0,08;15,75;0,13
Gans Innereien, tiefgefroren;154;17,9;9,21;0;0
Rind Roastbeef (Rücken) Rohpökelware, geräuchert;123;20,981;4,159;0,492;0
Schwein Schnitzel (Oberschale) gebraten ohne Fett (Ofen);131;28,12;2,027;0;0
Dinkelteigwaren eifrei, roh;358;13,4;1,4;69,53;6,63
Neuseeländer Spinat gebraten ohne Fett (Pfanne);23;2,2;0,3;1,39;2,7
Hähnchen Fleisch, ohne Haut, gekocht;128;23,3;3,9;0;0
Sauerkirschkompott;96;0,679;0,377;21,436;0,8
Broccoli tiefgefroren;31;2,2;0,663;2,4;3,3
Kasseler, Rohpökelware, geräuchert, gedünstet;155;32,781;2,618;0;0
Pfifferling geschmort ohne Fett;39;5,777;0,4;0,822;4,881
Tomate geschmort ohne Fett;27;1,176;0,136;4,06;1,6
Joghurt 1,5 % Fett mit Erdbeeren;54;3,668;1,211;6,002;0,6
Rind Kochfleisch (Hüfte) gekocht;181;30,3;6,625;0;0
Hähnchen Fleisch, ohne Haut, geschmort ohne Fett;190;33,8;6,1;0;0
Käsealternative Mozzarella-Art, vegan;188;1,8;19,4;1,3;0,4
Venusmuschel tiefgefroren;73;14,7;0,96;1,4;0
Erbse grün, tiefgefroren, gekocht;76;4,8;0,692;9,9;5,416
Königslachs tiefgefroren;180;19,9;11,2;0;0
Pfirsich gedünstet;45;0,8;0,125;9,11;1,9
Gans Innereien, gebraten ohne Fett (Pfanne);236;26,6;14,39;0;0
Wirsing gedünstet;37;2,836;0,327;4,1;2,9
Wildente Schenkel, mit Haut, gebraten ohne Fett (Ofen);247;27,5;15,2;0;0
Sardelle gesalzen;211;20,128;14,5;0;0
Zander gesalzen;97;22,386;0,78;0;0
Pommes frites tiefgefroren, frittiert, gesalzen;202;2,886;8,995;25,811;3,224
Reh Keule, gebraten ohne Fett (Ofen);143;32,27;1,587;0;0
Edelkastanie/Marone, gekocht;197;2,779;1,843;38,316;8,203
Heilbutt/Weißer Heilbutt, pochiert;136;20,1;6,22;0;0
Steinpilz gebraten ohne Fett (Pfanne);76;8,852;0,656;5,36;9,869
Dicke Bohne unreif, gekocht;62;5,2;0,6;6;5,8
Schaf Hals/Kamm/Nacken, gebraten ohne Fett (Pfanne);224;24,9;13,8;0;0
Taube Fleisch, mit Haut, gebraten ohne Fett (Ofen);217;32,983;9,5;0;0
Austernpilz getrocknet;251;26,18;1,74;10,05;46,278
Quittensaft;38;0,378;0,4;7,3;0,592
Knollensellerie gekocht;26;1,368;0,291;2,44;3,8
Milchmischgetränk > 1 % Fett, probiotisch, aromatisiert, gesüßt, angereichert mit Vitaminen;70;3,23;1,43;11;0
Dinkelbrötchen;287;10,8;3,58;49;7,6
Zuckererbse gedünstet;40;3,9;0,2;4,7;2
Rote Rübe/Rote Bete, gekocht;58;1,6;0,3;11;2,6
Karpfen tiefgefroren;119;18;5,18;0;0
Barsch/Flussbarsch, gebraten ohne Fett (Ofen);95;22,13;0,7;0;0
Kalb Filetsteak, gebraten ohne Fett (Pfanne);157;27,879;5,041;0;0
Sauerkraut abgetropft, gebraten ohne Fett (Pfanne);42;2,123;0,585;1,87;4,038
Knollensellerie gebraten ohne Fett (Pfanne);55;2,87;0,611;5,13;7,8
Gemüsepaprika gelb, gebacken;33;0,941;0,235;5,203;2,588
Schwein Magen, gekocht;187;21,9;11;0;0
Schwein Filetmedaillon, gebraten ohne Fett (Ofen);127;28,8;1,3;0;0
Lamm Brust, geschmort ohne Fett;378;24,195;31,25;0;0
Kalb Nierenfett, tiefgefroren;671;8,2;70,9;0;0
Porree/Lauch, tiefgefroren;32;0,9;0,278;5;2,4
Schwarztee (Getränk) mit Sahne 30 % Fett;10;0,077;1,057;0,109;0
Ente Schenkel, mit Haut, gegrillt;258;24,39;17,81;0;0
Kochbanane geschmort ohne Fett;162;1,46;0,09;36,8;2,8
Hähnchen Brust, ohne Haut, gegrillt;138;28,41;2,74;0;0
Porree/Lauch, gebacken;43;2,518;0,294;6;2,6
Suppenhuhn Innereien, tiefgefroren;154;17,9;9,21;0;0
Lachsrogen gesalzen;126;24,8;3;0;0
Okra geschmort ohne Fett;35;2,285;0,218;3,36;5,385
Hammel Bug/Schulter, gebraten ohne Fett (Ofen);342;21,171;28,571;0;0
Rind Herz, gebraten ohne Fett (Pfanne);176;24,812;8,492;0;0
Bohne grün, geschmort ohne Fett;32;2,518;0,27;3,9;2,148
Schaf Hinterhaxe, mittelfett, gegrillt;256;27,3;16,3;0;0
Kalb Steak (Rücken) gebraten ohne Fett (Ofen);150;30,4;3,176;0;0
Schwein Schnitzel (Nuss) gegrillt;140;28,24;3,05;0;0
Karpfen gedünstet;107;15,882;4,88;0;0
Pute Fleisch, ohne Haut, gekocht;121;26,357;1,7;0;0
Reh Rücken, gebraten ohne Fett (Ofen);152;29,151;3,89;0;0
Hase Fleisch, gebraten ohne Fett (Ofen);135;26,649;3,127;0;0
Forelle tiefgefroren, gebraten ohne Fett (Pfanne);150;23,631;5,962;0;0
Aubergine gebraten ohne Fett (Pfanne);32;0,966;0,305;5,12;2,4
Kürbis Pumpkin (C. pepo) gedünstet;39;1,196;0,141;6,32;3,728
Walnuss gemahlen;718;16,07;70,6;3;3,2
Mandeldrink gesüßt, aromatisiert, angereichert mit Calcium;36;0,84;2,092;3,28;0,13
Radler, alkoholfrei (Pilsner Bier, alkoholfrei, mit Zitronenlimonade);28;0,208;0;6,474;0
Schwein Bauch (wie gewachsen) tiefgefroren;324;17,74;28,06;0;0
Hähnchen Herz, geschmort ohne Fett;152;15,85;9,87;0;0
Blei/Brachsen/Brasse, pochiert;82;13,833;2,94;0;0
Schwein Bauch (wie gewachsen) gegrillt;421;23,65;36,24;0;0
Schaf Hinterhaxe, mager, geschmort ohne Fett;159;30,3;4,19;0;0
Schwein Brustspitze, gekocht;256;28,54;15,81;0;0
Schwein Kotelett (Rücken/caudal) gebraten ohne Fett (Ofen);142;29,84;2,51;0;0
Erdnuss-Krokant;546;18,8;32,3;37,4;5,5
Okra gedünstet;35;2,283;0,217;3,32;5,326
Wildente Fleisch, mit Haut, tiefgefroren;206;17,4;15,2;0;0
Spinat tiefgefroren;20;2,313;0,316;0,98;1,9
Schaf Schnitzel (Keule, mager) gegrillt;174;31;5,58;0;0
Grünkern ganzes Korn, gekocht;173;5,84;1,34;31,23;6,42
Fasan Fleisch, mit Haut, gebraten ohne Fett (Ofen);188;33,785;5,904;0;0
Ananassaftschorle;23;0,2;0,05;5,354;0,155
Bambussprossen gebraten ohne Fett (Pfanne);19;2,941;0,353;1,129;-
Schaf Keule, mittelfett, gebraten ohne Fett (Ofen);219;25,2;13,1;0;0
Kürbis Hokkaido (C. maxima) gebraten ohne Fett (Pfanne);56;2,593;0,37;9,811;1,444
Salzkartoffeln (Kartoffeln mit Salz gekocht);75;1,84;0,09;16,079;1,318
Gans Fleisch, mit Haut, gegrillt;379;21,077;32,699;0;0
Flunder geräuchert;110;23,3;1,92;0;0
Thunfisch tiefgefroren, gebraten ohne Fett (Ofen);130;30,692;0,79;0;0
Weißkohl geschmort ohne Fett;57;2,443;0,336;8,1;5,4
Pute Fleisch, mit Haut, gebraten ohne Fett (Pfanne);216;27,494;11,806;0;0
Europäische Auster gedämpft;69;8,036;3,5;1,298;0
Soja-Joghurtalternative gesüßt, aromatisiert;62;3,96;2,54;5,4;0
Gemüsepaprika rot, gebraten ohne Fett (Pfanne);61;1,737;0,339;10,49;3,729
Buckellachs tiefgefroren;124;21;4,4;0;0
Hammel Kotelett, gebraten ohne Fett (Pfanne);393;19,39;35,068;0;0
Kalb Filetsteak, gebraten ohne Fett (Ofen);162;29,929;4,706;0;0
Rotbarsch/Goldbarsch, gebraten ohne Fett (Pfanne);108;18,2;3,9;0;0
Pute Brust, ohne Haut, geschmort ohne Fett;145;34,111;0,914;0;0
Schaf Schnitzel (Keule, mager) tiefgefroren;128;22,6;4,2;0;0
Matjeshering mild gesalzen, geräuchert;294;17,273;24,398;0;0
Rind Roulade (Oberschale) gebraten ohne Fett (Pfanne);176;29,889;6,216;0;0
Steinpilz gebacken;64;7,5;0,556;4,54;8,361
Roggen ganzes Korn, gekocht;161;5,871;0,86;28,738;7,2
Hammel Kotelett, gegrillt;464;20,434;42,514;0;0
Rind Hüfte, geschmort ohne Fett;152;31,5;2,85;0;0
Sauerkraut abgetropft, geschmort ohne Fett;41;1,989;0,548;1,78;3,821
Hähnchen Oberschenkel, mit Haut, geschmort ohne Fett;205;21,64;13,12;0;0
Tofu gebraten ohne Fett (Pfanne);157;21,579;7,425;0;1,884
Rind Hüfte, gebraten ohne Fett (Ofen);145;30,3;2,69;0;0
Hähnchen Oberschenkel, mit Haut, gegrillt;309;27,42;22,14;0;0
Reis poliert, geschmort ohne Fett;111;2,428;0,167;24,4;0,9
Goldbutt/Scholle, gegrillt;105;23,7;1,1;0;0
Kaffee (Getränk) entkoffeiniert, mit Milch 3,5 % Fett;3;0,23;0,12;0,13;0
Kalb Herz, geschmort ohne Fett;175;27,175;7,36;0;0
Ente Fleisch, ohne Haut, gebraten ohne Fett (Ofen);144;28,8;3,2;0;0
Schaf Vorderhaxe, mittelfett, gebraten ohne Fett (Ofen);219;25,2;13,1;0;0
Kohlrübe/Steckrübe, gekocht;38;0,7;0,1;7;3
Auberginenscheiben frittiert;76;0,642;6,097;3,59;1,7
Schaf Keule, mager, gebraten ohne Fett (Ofen);163;30,2;4,73;0;0
Mischfett mit überwiegend Pflanzenfett, gesalzen, angereichert mit Vitaminen;496;0,39;54,33;1,24;0
Karpfen gebraten ohne Fett (Ofen);150;23,425;6,24;0;0
Wildkaninchen Fleisch, geschmort ohne Fett;143;29,6;2,77;0;0
Hammel Herz, gebraten ohne Fett (Pfanne);174;24,554;8,4;0;0
Kochbanane gebacken;152;1,39;0,08;34,7;2,6
Kalb Leber, tiefgefroren;86;14,9;1,15;4,1;0
Sardelle gegrillt;246;24,622;16,4;0;0
Kalb Kotelett (Rücken) gebraten ohne Fett (Pfanne);142;27,867;3,348;0;0
Kalb Bug/Schulter, tiefgefroren;94;21,2;1,01;0;0
Pflaume gedünstet;57;0,35;0,2;12,6;2
Reisnudeln gekocht;91;1,889;0,15;20,4;0,4
Dicke Bohne reif, gekocht;118;9;1;12,9;9
Erbse grün, gebraten ohne Fett (Pfanne);101;6,8;0,552;14,142;5,7
Hähnchen Flügel, mit Haut, gebraten ohne Fett (Pfanne);219;25,66;12,94;0;0
Speisezwiebel gekocht;27;0,7;0,3;4,133;2,3
Karotte/Möhre, tiefgefroren;40;0,75;0,421;6,471;3,1
Erbse grün, tiefgefroren, gebraten ohne Fett (Pfanne);89;5,6;0,805;11,5;6,092
Blei/Brachsen/Brasse, tiefgefroren;96;16,6;3,31;0;0
Hammel Keule, gebraten ohne Fett (Ofen);279;24,085;20,282;0;0
Schwein Dicke Rippe geschmort ohne Fett;251;26,5;16,1;0;0
Rind Bratenfleisch (Bug) geschmort ohne Fett;163;27,126;6,057;0;0
Rind Filetsteak gebraten ohne Fett (Pfanne);157;27,879;5,041;0;0
Reis parboiled, poliert, gekocht;110;2,68;0,32;23,8;0,5
Kürbis Pumpkin (C. pepo) gebraten ohne Fett (Pfanne);66;2,037;0,241;10,76;6,352
Rind Brustkern/Mittelbrust, gebraten ohne Fett (Ofen);257;26,629;16,708;0;0
Ananas getrocknet;333;3,7;0,7;68,9;10,2
Schwein Bratenfleisch (Hüfte/Schinkenspeck) gebraten ohne Fett (Ofen);156;28,6;4,57;0;0
Quarkblätterteig gebacken;509;10,29;36,48;33,3;2,32
Hühnerei Eiklar, pochiert;42;10,1;0,031;0,418;0
Ente Brust, mit Haut, gebraten ohne Fett (Ofen);206;27,433;10,75;0;0
Grünkohl gebraten ohne Fett (Pfanne);79;6,209;1;4,95;12,522
Seehecht gedünstet;78;15,357;1,84;0;0
Kiwi gedünstet;62;0,9;0,5;10,3;4
Traubendicksaft;270;0,838;0;65,278;1,238
Spitzkohl gebraten ohne Fett (Pfanne);58;2,28;0,34;8,56;5,7
Pute Fleisch, mit Haut, gegrillt;215;27,671;11,644;0;0
Kaffee (Getränk) entkoffeiniert, mit Kondensmilch 7,5 % Fett;5;0,33;0,252;0,311;0
Speiseeis (Nuss, Vanille) gemischt;217;2,89;11,48;24,69;1,06
Geflügel-Wiener Würstchen gargezogen;214;13,21;17,25;0,97;0
Alaska-Pollack/Alaska-Seelachs, tiefgefroren, gebraten ohne Fett (Ofen);106;24,344;0,962;0;0
Kalb Herz, gebraten ohne Fett (Pfanne);158;23,483;7,162;0;0
Schaf Keule, mittelfett, geschmort ohne Fett;242;27,9;14,5;0;0
Taube Fleisch, mit Haut, geschmort ohne Fett;202;32,047;8,233;0;0
Wildlachs gedünstet;163;17,355;10,419;0;0
Kalb Niere, geschmort ohne Fett;219;31,73;10,192;0;0
Kalb Keule, tiefgefroren;89;20,7;0,72;0;0
Kohlrübe/Steckrübe, gedünstet;22;1,225;0,157;2,26;2,843
Gerste Graupen, gekocht;114;3,8;0,471;22,9;1,7
Karotte/Möhre, gebraten ohne Fett (Pfanne);74;1,556;0,741;11,983;5,4
Brombeere gedünstet;52;1,37;0,2;10,8;3,4
Zander gebraten ohne Fett (Pfanne);102;23,75;0,74;0;0
Rind Hochrippe, geschmort ohne Fett;199;28,407;9,471;0;0
Zander geräuchert;93;21,591;0,71;0;0
Papaya getrocknet;289;4,4;0,568;60,2;12
Kaffee (Getränk) mit Haferdrink, ungesüßt;2;0,14;0,03;0,14;0,32
Buckellachs gedünstet;110;18,3;4,1;0;0
Europäische Auster gegrillt;99;13,164;4,39;1,627;0
Okra gekocht;23;1,8;0,2;2;3,1
Kasseler, Rohpökelware, geräuchert, gebraten ohne Fett (Ofen);144;30,444;2,511;0;0
Schwein Kochschinken, Kochpökelware, gebraten ohne Fett (Pfanne);142;25,412;3,656;0,86;0
Zucchini gebacken;28;1,5;0,338;4;1,3
Hering gesalzen;218;19,8;15,4;0;0
Knoblauch getrocknet;240;15,042;1,044;7;70,355
Kalb Filet/Lende, tiefgefroren;101;21,2;1,82;0;0
Kalb Lunge, gekocht;87;17,5;1,929;0;0
Eierteigwaren (mit Salz gekocht);129;5,2;0,785;24,647;1,327
Dörrpflaumenkompott;99;0,88;0;22;2,35
Pangasius/Schlankwels, gebraten ohne Fett (Pfanne);89;17,706;2,048;0;0
Latte macchiato (Getränk) mit Milch 3,5 % Fett;50;2,9;2,79;3,22;0,084
Rhabarbersaft;12;0,51;0,112;1,087;0,32
Kartoffel geschält, gekocht;76;2;0,1;15,832;2,05
Gans Fleisch, ohne Haut, gebraten ohne Fett (Pfanne);186;35,1;5,09;0;0
Schaf Filet/Lende, gebraten ohne Fett (Ofen);225;24;14,3;0;0
Schwarztee (Getränk) mit Milch 3,5 % Fett;2;0,12;0,12;0,13;0
Meerbarbe gedünstet;89;17,946;1,905;0;0
Miesmuschel gekocht;61;9,853;2,444;0;0
Champignon gegrillt;44;5,57;0,422;4,5;2,9
Erbse grün, gekocht;87;5,6;0,5;12,036;5,92
Pfefferschote rot, gekocht;41;1,93;0,46;6,39;1,6
Gemüsepaprika rot, gebacken;42;1,206;0,235;7,29;2,588
Rind Filetsteak gegrillt;144;25,44;4,7;0;0
Dornhai gedünstet;169;11,25;13,81;0;0
Einkorn ganzes Korn, gekocht;179;7,43;1,45;31,44;5,37
Fleischwurst gebraten ohne Fett (Ofen);348;14,128;32,006;0,3;0
Halloumi Grillkäse, gebraten ohne Fett (Pfanne);307;21,69;24;0,1;0
Mangosaft;51;0,6;0,36;11;0,2
Schwein Kamm, Rohpökelware;162;18,07;9,74;0,47;0
Hallimasch gebraten ohne Fett (Pfanne);62;5,198;1,115;4,8;9,033
Mais Grütze, gekocht;52;1,375;0,448;9,974;1,495
Alaska-Pollack/Alaska-Seelachs, pochiert;57;12,3;0,87;0;0
Tomate getrocknet;276;12,193;1,412;41,66;16,7
Kalb Kochfleisch (Brust) gekocht;231;23,895;14,992;0;0
Köhler/Seelachs, gebraten ohne Fett (Pfanne);116;22,942;2,689;0;0
Grünkern Vollkornschrot, gekocht;50;1,72;0,4;8,92;1,89
Gemüsepaprika gelb, gedünstet;30;0,87;0,217;4,807;2,391
Lamm Kotelett, gebraten ohne Fett (Ofen);293;27,897;20,19;0;0
Ente Fleisch, ohne Haut, gebraten ohne Fett (Pfanne);178;34,8;4,3;0;0
Milchmischgetränk 1,5 % Fett, mit Kaffee, ungesüßt;36;2,88;1,26;3,17;0,05656
Lamm Kotelett, gegrillt;292;25,371;21,124;0;0
Fleischkäse einfach, fein/Original Bayerischer Leberkäse fein, gekocht;211;12,06;17,65;0,5;0
Wels gesalzen;147;17,125;8,7;0;0
Wurzelpetersilie gekocht;72;2,728;0,445;13,1;2,085
Roggenknäckebrot;334;9,4;1,34;62;18,16
Meeräsche tiefgefroren;108;20,4;2,89;0;0
Frühlingszwiebel/Lauchzwiebel, gekocht;31;2,2;0,22;3,4;3,1
Kaffee (Getränk) mit Alkohol;16;0,11;0;0;0,2933
Hafer Schrot, gekocht;62;2,107;1,273;9,6;1,7
Gemüsepaprika gelb, geschmort ohne Fett;31;0,87;0,218;4,859;2,418
Schwein Bauch (wie gewachsen) Rohpökelware, geräuchert;374;18;33,3;0,492;0
Mangostanesaft;58;0,54;0,48;12,712;0,14
Kalb Gulasch (Bug) gebraten ohne Fett (Pfanne);120;27,136;1,239;0;0
Schaf Bug/Schulter, mager, gebraten ohne Fett (Ofen);176;26,7;7,73;0;0
Wurzelpetersilie geschmort ohne Fett;91;3,435;0,561;16,6;2,566
Meerforelle gedünstet;98;16,4;3,44;0;0
Schwarzwurzel tiefgefroren;62;1,463;0,453;8,8;5
Kartoffel ungeschält, tiefgefroren;90;2,16;0,105;19,44;1,495
Schnecken tiefgefroren;68;14,4;1,2;0;0
Hafer Grütze, gekocht;66;3;1,1;10;2,021
Zucchini gekocht;22;1,3;0,3;3;0,8
Wildlachs gebraten ohne Fett (Pfanne);208;23,631;12,6;0;0
Tomate Pulver;314;13,84;1,603;47,28;18,9
Schaf Rücken, gegrillt;164;29,6;5,01;0;0
Schwein Hackfleisch, gebraten ohne Fett (Ofen);339;25,35;26,44;0;0
Aal gedünstet;271;13,5;24,1;0;0
Schaf Brust, fett, geschmort ohne Fett;487;17,8;46,2;0;0
Schwein Dicker Bug (mit Fett und Schwarte) gebraten ohne Fett (Ofen);240;27,3;14,56;0;0
Erbse reif, gekocht;117;8,745;0,558;14,9;8,539
Rind Roastbeef (Rücken) tiefgefroren;130;22,45;4,45;0;0
Butterpilz gebraten ohne Fett (Pfanne);52;4,177;0,59;5,36;7,344
Schaf Kotelett, tiefgefroren;348;14,9;32;0;0
Schaf Gulasch (Bug, fett) gebraten ohne Fett (Pfanne);361;24;29,4;0;0
Schwein Lachsbraten, gebraten, ohne Fett (Ofen);142;29,84;2,51;0;0
Frühlingszwiebel/Lauchzwiebel, gebacken;31;2,2;0,22;3,4;3,1
Kochbanane gekocht;112;1,21;0,08;25,4;1,9
Zwetschge gedünstet;57;0,35;0,2;12,6;2
Knoblauch gebraten ohne Fett (Pfanne);155;9,603;0,667;5;44,916
Erbse grün, tiefgefroren, gedünstet;85;5,4;0,769;11;5,824
Hähnchen Brust, ohne Haut, gebraten ohne Fett (Ofen);148;31,16;2,59;0;0
Rind Gulasch (Bug) geschmort ohne Fett;173;28,77;6,424;0;0
Johannisbeeren gezuckert;75;1,294;0,18;13,88;3,1
Rind Steak (Rücken) tiefgefroren;130;22,45;4,45;0;0
Schwein Herz, geschmort ohne Fett;195;29,106;8,7;0;0
Bambussprossen gekocht;18;2,679;0,321;1,028;-
Schwein Zunge, gekocht;235;23,91;15,51;0;0
Rotbarsch/Goldbarsch, gegrillt;112;18,7;4,16;0;0
Rind Fleisch (Keule) getrocknet;258;36,6;12,4;0;0
Schaf Filetmedaillon, gebraten ohne Fett (Pfanne);156;31,38;3,44;0;0
Schaf Bratenfleisch (Bug, fett) geschmort ohne Fett;383;25,5;31,2;0;0
Hirsch Fleisch, geschmort ohne Fett;150;28,779;3,929;0;0
Maulbeersaft;44;1,23;0,31;7,3;0,2
Rind Oberschale, gekocht;176;31,29;5,659;0;0
Schwein Lunge, gekocht;107;13,5;5,929;0;0
Rind Lunge, gekocht;96;18,1;2,578;0;0
Schwein Vordereisbein/Vorderhaxe, gebraten ohne Fett (Ofen);249;31,2;13,78;0;0
Hammel Niere, geschmort ohne Fett;169;31,35;4,848;0;0
Schwein Hüfte/Schinkenspeck, geschmort ohne Fett;167;30,03;5,21;0;0
Schwein Kotelett (Rücken/cranial) tiefgefroren;175;21,02;10,08;0;0
Rind Leberhack, tiefgefroren;131;19,21;3,66;5,3;0
Rind Kochfleisch (Bug) gekocht;170;28,406;6,211;0;0
Leng gedünstet;73;16,964;0,59;0;0
Ente Fleisch, ohne Haut, geschmort ohne Fett;142;27,3;3,6;0;0
Schaf Keule, fett, tiefgefroren;234;18;18;0;0
Lachs gebraten ohne Fett (Ofen);198;22,777;11,875;0;0
Weißer Thun gebraten ohne Fett (Pfanne);143;32,3;1,54;0;0
Hähnchen Unterschenkel, mit Haut, gebraten ohne Fett (Ofen);174;24,41;8,47;0;0
Wildschwein Fleisch, tiefgefroren;162;19,5;9,3;0;0
Pferd Fleisch, gebraten ohne Fett (Ofen);150;29,516;3,268;0,585;0
Schalotte gekocht;33;2;0,1;3,2;5,6051
Spargel gebraten ohne Fett (Pfanne);53;3,698;0,294;7,51;2,6
Garnele/Granat/Krabbe, tiefgefroren;87;18,6;1,44;0;0
Hähnchen Unterschenkel, mit Haut, geschmort ohne Fett;142;21,07;6,36;0;0
Schaf Bug/Schulter, fett, tiefgefroren;294;17,2;25;0;0
Schwein Kammsteak, gebraten ohne Fett (Ofen);205;24,66;11,78;0;0
Bachsaibling geräuchert;150;22,9;6,5;0;0
Roggen Flocken, gekocht;50;1,523;0,288;9,11;2,3
Pfifferling gebacken;36;5,431;0,376;0,765;4,542
Rind Hals/Kamm/Nacken, geschmort ohne Fett;186;25,85;9,2;0;0
Pak Choi gebraten ohne Fett (Pfanne);31;3,396;0,377;1,9;3,2
Reis gekocht;112;2,535;0,188;24,6;0,8
